Days,Trends,Seasonal,Predicted_Prices
104,10.270907785643466,1.0092484848827117,10.365898121030716
105,10.272450754484744,1.0092385180524328,10.367352976222778
106,10.273993723326024,1.0092285397651148,10.368807682948278
107,10.275536692167302,1.0092185500207569,10.370262241154169
108,10.277079661008582,1.0092085488193598,10.371716650787429
109,10.27862262984986,1.0091985361609233,10.373170911795018
110,10.28016559869114,1.0091885120454467,10.3746250241239
111,10.281708567532418,1.0091784764729315,10.376078987721051
112,10.283251536373697,1.009168429443376,10.377532802533429
113,10.284794505214975,1.0091583709567815,10.378986468508002
114,10.286337474056255,1.0091483010131477,10.380439985591742
115,10.287880442897533,1.0091382196124743,10.381893353731611
116,10.289423411738813,1.0091281267547616,10.383346572874576
117,10.290966380580091,1.0091180224400094,10.384799642967602
118,10.29250934942137,1.0091079066682174,10.386252563957655
